"Label (Grouping)","Alameda County, California!!Total!!Estimate","Alameda County, California!!Median income (dollars)!!Estimate","Contra Costa County, California!!Total!!Estimate","Contra Costa County, California!!Median income (dollars)!!Estimate","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Median income (dollars)!!Estimate","San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Median income (dollars)!!Estimate","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Median income (dollars)!!Estimate","Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"Households","571,828","81,717","391,996","83,104","356,916","92,094","263,280","101,272","633,786","102,340","190,662","66,674"
"    One race--","","","","","","","","","","","",""
"        White","48.9%","91,420","63.5%","90,643","55.6%","112,515","57.8%","106,135","52.1%","102,552","84.1%","69,694"
"        Black or African American","13.3%","42,101","8.9%","52,536","5.0%","32,202","2.5%","60,298","2.5%","70,811","N","80,776"
"        American Indian and Alaska Native","0.7%","63,312","N","61,292","N","54,564","N","79,727","N","55,956","N","56,950"
"        Asian","25.7%","101,882","14.7%","101,582","30.3%","81,198","26.4%","113,399","33.3%","125,474","3.0%","65,567"
"        Native Hawaiian and Other Pacific Islander","0.7%","76,239","N","114,923","N","34,416","N","85,496","N","82,450","N","-"
"        Some other race","6.7%","61,088","7.7%","51,958","5.3%","44,865","8.8%","60,413","8.4%","59,926","6.6%","50,280"
"    Two or more races","4.1%","71,620","4.4%","76,900","3.3%","91,722","3.1%","98,797","2.9%","90,179","3.8%","61,225"
"Hispanic or Latino origin (of any race)","16.0%","63,487","18.7%","61,686","11.6%","58,368","18.3%","63,811","19.7%","64,455","16.6%","55,675"
"White alone, not Hispanic or Latino","40.9%","98,439","53.7%","96,359","50.2%","120,606","49.4%","115,889","41.9%","115,890","76.2%","71,245"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","",""
"    15 to 24 years","2.6%","36,939","1.8%","29,722","2.8%","49,078","1.6%","41,372","2.7%","49,595","2.8%","35,121"
"    25 to 44 years","37.3%","90,499","31.2%","85,156","42.4%","127,061","34.0%","116,157","37.0%","120,380","27.2%","66,156"
"    45 to 64 years","39.5%","96,433","42.9%","100,711","33.5%","90,137","40.8%","113,814","40.0%","121,963","40.8%","80,658"
"    65 years and over","20.6%","52,154","24.1%","60,480","21.3%","43,795","23.6%","64,886","20.2%","55,641","29.2%","57,019"
"FAMILIES","","","","","","","","","","","",""
"    Families","383,253","97,732","280,469","100,260","164,201","105,924","185,695","115,016","456,166","118,814","120,760","79,788"
"        With own children of householder under 18 years","45.9%","100,074","45.5%","93,202","34.7%","110,755","43.2%","122,066","47.1%","130,354","39.9%","67,677"
"        With no own children of householder under 18 years","54.1%","96,635","54.5%","102,450","65.3%","101,722","56.8%","110,898","52.9%","109,484","60.1%","84,738"
"        Married-couple families","74.5%","118,508","75.5%","117,466","75.7%","127,322","77.5%","136,477","79.0%","137,928","72.9%","93,607"
"        Female householder, no husband present","17.6%","48,194","17.6%","51,521","16.4%","56,976","15.3%","60,553","14.0%","51,759","18.4%","45,738"
"        Male householder, no wife present","7.9%","59,939","6.9%","56,969","7.9%","80,063","7.2%","74,701","7.0%","71,607","8.6%","51,943"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","",""
"    Nonfamily households","188,575","51,140","111,527","50,053","192,715","79,296","77,585","65,976","177,620","65,113","69,902","45,807"
"        Female householder","53.4%","47,102","57.9%","45,468","47.6%","70,923","53.0%","61,016","50.8%","51,382","56.7%","40,606"
"            Living alone","40.8%","38,556","46.6%","41,064","34.2%","50,921","42.7%","50,957","38.9%","41,177","45.9%","34,187"
"            Not living alone","12.5%","85,913","11.3%","73,700","13.4%","148,968","10.3%","128,716","11.8%","102,537","10.7%","75,989"
"        Male householder","46.6%","57,142","42.1%","58,447","52.4%","85,570","47.0%","71,337","49.2%","81,526","43.3%","52,176"
"            Living alone","32.7%","44,926","30.8%","47,955","35.3%","60,846","32.0%","59,559","34.6%","61,994","30.2%","41,771"
"            Not living alone","13.9%","94,514","11.2%","80,467","17.1%","156,337","15.0%","118,958","14.6%","132,909","13.1%","77,022"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Household income in the past 12 months","31.3%","(X)","36.1%","(X)","33.2%","(X)","32.4%","(X)","31.3%","(X)","35.4%","(X)"
"    Family income in the past 12 months","31.9%","(X)","36.2%","(X)","36.2%","(X)","33.2%","(X)","32.0%","(X)","35.3%","(X)"
"    Nonfamily income in the past 12 months","27.9%","(X)","32.5%","(X)","29.4%","(X)","26.3%","(X)","27.2%","(X)","31.2%","(X)"
