"Label (Grouping)","Alameda County, California!!Total!!Estimate","Alameda County, California!!Median income (dollars)!!Estimate","Contra Costa County, California!!Total!!Estimate","Contra Costa County, California!!Median income (dollars)!!Estimate","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Median income (dollars)!!Estimate","San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Median income (dollars)!!Estimate","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Median income (dollars)!!Estimate","Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"Households","545,559","67,558","376,326","74,353","342,706","69,894","256,526","81,657","606,459","84,895","180,703","61,020"
"One race--","","","","","","","","","","","",""
"    White","51.4%","74,401","67.8%","77,565","57.7%","84,985","65.6%","82,065","57.3%","82,985","86.9%","61,642"
"    Black or African American","15.0%","42,124","9.5%","46,575","6.2%","30,992","2.7%","56,521","2.6%","60,769","N","71,369"
"    American Indian and Alaska Native","0.4%","N","N","48,269","N","N","N","52,214","0.5%","62,643","N","32,738"
"    Asian","23.7%","80,124","13.7%","90,544","28.6%","60,585","22.7%","101,334","30.3%","103,407","3.4%","72,481"
"    Native Hawaiian and Other Pacific Islander","0.6%","76,494","N","72,045","N","N","N","61,127","N","96,192","N","N"
"    Some other race","5.3%","52,932","4.6%","55,694","3.9%","50,811","5.2%","52,100","5.9%","51,172","4.7%","50,962"
"Two or more races","3.6%","60,646","3.5%","80,751","3.0%","71,486","2.9%","73,831","3.1%","77,734","2.6%","47,266"
"Hispanic or Latino origin (of any race)","16.2%","54,189","17.4%","52,147","11.5%","51,176","18.7%","55,132","19.7%","54,318","15.4%","52,183"
"White alone, not Hispanic or Latino","41.8%","81,710","55.7%","86,358","50.9%","91,468","53.1%","93,239","44.9%","94,084","78.0%","63,290"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","",""
"    15 to 24 years","3.5%","23,414","3.0%","31,788","4.0%","33,034","1.7%","33,030","2.5%","32,433","2.6%","37,062"
"    25 to 44 years","37.7%","71,822","32.8%","76,221","42.6%","95,335","34.9%","91,422","39.5%","95,407","29.1%","60,702"
"    45 to 64 years","40.2%","81,859","42.9%","96,145","33.7%","67,024","41.5%","97,442","39.6%","99,607","44.4%","76,803"
"    65 years and over","18.6%","43,214","21.3%","50,153","19.7%","36,622","21.9%","52,860","18.3%","49,833","23.9%","39,186"
"FAMILIES","","","","","","","","","","","",""
"    Families","355,646","82,476","268,067","88,294","157,073","83,540","175,804","99,043","429,293","99,383","113,167","73,946"
"        With own children under 18 years","48.5%","80,614","48.4%","89,704","37.7%","91,584","45.1%","100,234","50.3%","107,765","43.0%","66,164"
"        With no own children under 18 years","51.5%","84,626","51.6%","86,582","62.3%","78,423","54.9%","97,614","49.7%","92,854","57.0%","80,313"
"    Married-couple families","72.0%","102,303","75.4%","105,432","71.1%","102,432","77.8%","111,214","77.4%","116,215","74.4%","86,412"
"    Female householder, no husband present","20.1%","40,559","17.0%","41,839","19.9%","46,265","15.1%","54,527","15.3%","47,647","17.6%","38,687"
"    Male householder, no wife present","7.9%","52,055","7.7%","55,163","9.0%","52,485","7.1%","63,097","7.3%","65,730","8.0%","55,358"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","",""
"    Nonfamily households","189,913","44,820","108,259","44,370","185,633","58,528","80,722","52,594","177,166","52,003","67,536","39,225"
"    Female householder","53.4%","39,775","56.5%","38,668","46.8%","51,275","53.2%","49,353","49.6%","41,312","56.7%","36,924"
"        Living alone","42.9%","32,451","47.3%","34,908","34.5%","36,753","43.6%","43,532","40.2%","36,142","47.6%","30,380"
"        Not living alone","10.6%","70,846","9.2%","72,684","12.3%","98,634","9.5%","83,577","9.4%","72,578","9.1%","65,003"
"    Male householder","46.6%","50,131","43.5%","50,840","53.2%","64,160","46.8%","56,292","50.4%","66,955","43.3%","42,087"
"        Living alone","33.4%","41,927","31.4%","43,814","35.8%","48,720","35.5%","49,476","35.2%","57,430","31.4%","37,192"
"        Not living alone","13.2%","71,246","12.1%","84,656","17.4%","104,981","11.3%","85,642","15.2%","86,246","11.9%","58,555"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Household income in the past 12 months","23.1%","(X)","27.3%","(X)","29.9%","(X)","28.7%","(X)","26.5%","(X)","25.3%","(X)"
"    Family income in the past 12 months","22.7%","(X)","27.9%","(X)","32.5%","(X)","29.4%","(X)","27.0%","(X)","25.3%","(X)"
"    Nonfamily income in the past 12 months","22.2%","(X)","22.8%","(X)","26.6%","(X)","25.0%","(X)","22.5%","(X)","23.6%","(X)"
