"Label (Grouping)","Alameda County, California!!Total!!Estimate","Alameda County, California!!Median income (dollars)!!Estimate","Contra Costa County, California!!Total!!Estimate","Contra Costa County, California!!Median income (dollars)!!Estimate","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Median income (dollars)!!Estimate","San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Median income (dollars)!!Estimate","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Median income (dollars)!!Estimate","Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"Households","555,909","72,399","382,356","79,100","354,651","77,485","258,791","91,322","619,337","92,014","189,087","61,029"
"    One race--","","","","","","","","","","","",""
"        White","50.9%","78,131","67.2%","84,320","55.9%","98,289","62.4%","95,271","54.2%","90,763","83.6%","62,165"
"        Black or African American","13.4%","39,272","9.2%","45,942","6.2%","30,368","2.7%","41,774","2.9%","52,870","N","55,290"
"        American Indian and Alaska Native","0.7%","59,821","N","60,935","N","48,251","N","91,011","N","51,561","N","50,796"
"        Asian","24.5%","93,193","13.6%","101,963","28.2%","64,859","24.5%","99,756","31.3%","113,644","3.5%","72,944"
"        Native Hawaiian and Other Pacific Islander","0.7%","72,861","N","62,127","N","22,843","N","56,250","N","60,565","N","87,771"
"        Some other race","5.9%","59,093","5.5%","54,088","5.5%","50,906","6.3%","63,497","7.8%","56,110","7.9%","43,574"
"    Two or more races","3.9%","61,598","3.7%","64,206","3.3%","74,804","3.0%","80,935","3.1%","87,929","2.6%","48,580"
"Hispanic or Latino origin (of any race)","16.0%","56,726","18.1%","52,044","12.1%","53,670","18.3%","64,756","19.4%","59,407","16.8%","48,120"
"White alone, not Hispanic or Latino","42.1%","84,833","55.3%","92,316","50.4%","101,272","51.3%","104,624","44.0%","100,633","75.6%","63,961"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","",""
"    15 to 24 years","3.5%","27,033","2.4%","36,825","3.4%","31,793","1.7%","49,702","2.6%","39,949","3.0%","23,844"
"    25 to 44 years","37.1%","77,957","31.5%","82,110","42.2%","105,021","34.5%","96,653","38.4%","104,170","29.0%","61,213"
"    45 to 64 years","39.8%","84,555","43.3%","98,259","33.6%","77,785","40.2%","111,843","39.9%","106,598","41.3%","75,585"
"    65 years and over","19.6%","48,340","22.8%","51,352","20.8%","38,562","23.5%","54,387","19.1%","52,933","26.7%","50,213"
"FAMILIES","","","","","","","","","","","",""
"    Families","360,837","88,720","272,442","94,574","159,591","95,421","177,377","108,410","442,184","104,307","115,059","73,969"
"        With own children under 18 years","47.4%","90,573","46.0%","96,200","35.2%","107,247","44.2%","121,476","49.4%","110,814","42.2%","62,478"
"        With no own children under 18 years","52.6%","87,886","54.0%","93,215","64.8%","87,300","55.8%","100,629","50.6%","98,795","57.8%","80,919"
"        Married-couple families","72.8%","108,064","74.8%","112,553","73.7%","117,234","78.6%","125,877","77.8%","122,691","74.3%","88,005"
"        Female householder, no husband present","19.3%","43,859","18.0%","47,129","18.2%","49,930","14.5%","55,426","14.6%","48,689","17.7%","44,358"
"        Male householder, no wife present","7.9%","63,824","7.2%","57,901","8.0%","65,183","6.9%","70,341","7.6%","61,779","7.9%","51,128"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","",""
"    Nonfamily households","195,072","46,047","109,914","45,429","195,060","63,619","81,414","54,957","177,153","60,346","74,028","42,015"
"        Female householder","54.3%","41,284","55.7%","39,142","47.6%","51,712","55.6%","51,951","51.3%","49,621","56.6%","40,515"
"            Living alone","42.4%","34,235","45.7%","34,483","34.6%","37,821","43.7%","43,777","40.6%","43,031","44.1%","34,807"
"            Not living alone","11.9%","70,679","10.0%","77,986","13.0%","114,151","11.9%","84,623","10.6%","91,957","12.5%","64,281"
"        Male householder","45.7%","51,599","44.3%","56,363","52.4%","76,153","44.4%","61,047","48.7%","72,933","43.4%","44,329"
"            Living alone","33.0%","40,923","33.6%","47,516","34.1%","50,663","32.0%","50,445","34.9%","60,787","29.2%","35,622"
"            Not living alone","12.7%","75,183","10.7%","84,340","18.2%","135,175","12.4%","99,749","13.8%","117,525","14.3%","70,483"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Household income in the past 12 months","27.3%","(X)","33.1%","(X)","30.9%","(X)","30.6%","(X)","27.8%","(X)","30.4%","(X)"
"    Family income in the past 12 months","28.2%","(X)","33.6%","(X)","33.7%","(X)","31.1%","(X)","27.7%","(X)","29.6%","(X)"
"    Nonfamily income in the past 12 months","23.8%","(X)","28.9%","(X)","27.6%","(X)","27.5%","(X)","25.4%","(X)","28.9%","(X)"
