"Label (Grouping)","Alameda County, California!!Number!!Estimate","Alameda County, California!!Percent Distribution!!Estimate","Alameda County, California!!Median income (dollars)!!Estimate","Contra Costa County, California!!Number!!Estimate","Contra Costa County, California!!Percent Distribution!!Estimate","Contra Costa County, California!!Median income (dollars)!!Estimate","San Francisco County, California!!Number!!Estimate","San Francisco County, California!!Percent Distribution!!Estimate","San Francisco County, California!!Median income (dollars)!!Estimate","San Mateo County, California!!Number!!Estimate","San Mateo County, California!!Percent Distribution!!Estimate","San Mateo County, California!!Median income (dollars)!!Estimate","Santa Clara County, California!!Number!!Estimate","Santa Clara County, California!!Percent Distribution!!Estimate","Santa Clara County, California!!Median income (dollars)!!Estimate","Sonoma County, California!!Number!!Estimate","Sonoma County, California!!Percent Distribution!!Estimate","Sonoma County, California!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","",""
"Households","573,589","573,589","96,296","392,046","392,046","95,339","360,323","360,323","110,816","264,185","264,185","116,653","633,811","633,811","119,035","188,829","188,829","80,409"
"    One race--","","","","","","","","","","","","","","","","","",""
"        White","270,664","47.2%","102,899","249,954","63.8%","101,542","196,471","54.5%","134,114","149,008","56.4%","124,283","320,726","50.6%","118,465","154,456","81.8%","82,650"
"        Black or African American","69,217","12.1%","49,781","34,104","8.7%","62,956","18,568","5.2%","31,073","6,488","2.5%","72,991","16,826","2.7%","78,770","N","N","59,757"
"        American Indian and Alaska Native","3,869","0.7%","62,521","N","N","82,558","N","N","N","N","N","63,217","3,318","0.5%","51,637","N","N","96,068"
"        Asian","154,364","26.9%","120,926","61,833","15.8%","110,804","109,646","30.4%","93,021","72,591","27.5%","127,950","218,797","34.5%","141,946","6,308","3.3%","72,696"
"        Native Hawaiian and Other Pacific Islander","N","N","92,646","N","N","115,212","N","N","N","N","N","95,257","N","N","84,222","N","N","98,543"
"        Some other race","46,168","8.0%","72,825","24,425","6.2%","63,931","18,064","5.0%","67,467","23,482","8.9%","69,797","50,350","7.9%","68,478","16,740","8.9%","66,606"
"    Two or more races","25,324","4.4%","100,232","17,837","4.5%","78,195","14,687","4.1%","125,501","8,911","3.4%","110,352","21,493","3.4%","109,001","7,014","3.7%","80,801"
"Hispanic or Latino origin (of any race)","96,417","16.8%","76,738","71,276","18.2%","70,367","39,818","11.1%","81,071","47,140","17.8%","75,435","118,920","18.8%","74,767","34,360","18.2%","72,208"
"White alone, not Hispanic or Latino","229,781","40.1%","108,188","208,863","53.3%","106,649","178,797","49.6%","138,214","128,658","48.7%","133,640","258,844","40.8%","127,805","139,350","73.8%","83,530"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","13,098","2.3%","52,454","7,426","1.9%","49,629","11,152","3.1%","69,592","5,958","2.3%","90,183","15,035","2.4%","58,711","3,314","1.8%","33,859"
"    25 to 44 years","210,456","36.7%","106,533","118,361","30.2%","98,566","150,198","41.7%","152,235","84,216","31.9%","133,914","232,778","36.7%","134,584","51,692","27.4%","85,641"
"    45 to 64 years","225,401","39.3%","110,459","167,381","42.7%","118,454","117,461","32.6%","105,665","106,762","40.4%","132,849","251,563","39.7%","136,644","74,196","39.3%","95,126"
"    65 years and over","124,634","21.7%","59,046","98,878","25.2%","68,811","81,512","22.6%","46,567","67,249","25.5%","78,494","134,435","21.2%","67,126","59,627","31.6%","58,430"
"FAMILIES","","","","","","","","","","","","","","","","","",""
"    Families","379,364","379,364","115,386","285,345","285,345","108,124","171,514","171,514","131,244","182,953","182,953","133,877","455,308","455,308","133,345","118,915","118,915","96,745"
"        With own children of householder under 18 years","169,708","44.7%","116,766","127,640","44.7%","114,390","61,048","35.6%","128,888","76,208","41.7%","160,051","207,859","45.7%","147,279","43,891","36.9%","94,437"
"        With no own children of householder under 18 years","209,656","55.3%","114,037","157,705","55.3%","104,271","110,466","64.4%","133,025","106,745","58.3%","121,353","247,449","54.3%","123,844","75,024","63.1%","97,911"
"        Married-couple families","283,896","74.8%","135,050","217,238","76.1%","130,223","129,558","75.5%","152,539","142,503","77.9%","158,947","357,833","78.6%","156,721","92,566","77.8%","108,220"
"            With own children under 18 years","128,063","33.8%","141,017","94,608","33.2%","144,583","47,279","27.6%","160,614","61,050","33.4%","187,670","166,888","36.7%","173,037","31,595","26.6%","115,185"
"        Female householder, no husband present","67,289","17.7%","59,117","49,871","17.5%","54,731","30,097","17.5%","60,257","27,722","15.2%","72,345","64,043","14.1%","63,368","17,445","14.7%","55,449"
"            With own children under 18 years","30,704","8.1%","45,374","24,951","8.7%","38,110","10,475","6.1%","42,182","11,719","6.4%","60,126","27,487","6.0%","41,674","8,279","7.0%","43,059"
"        Male householder, no wife present","28,179","7.4%","73,713","18,236","6.4%","68,320","11,859","6.9%","81,651","12,728","7.0%","77,901","33,432","7.3%","86,860","8,904","7.5%","64,075"
"            With own children under 18 years","10,941","2.9%","60,761","8,081","2.8%","58,940","3,294","1.9%","74,106","3,439","1.9%","75,866","13,484","3.0%","73,927","4,017","3.4%","59,258"
"FAMILY INCOME BY FAMILY SIZE","","","","","","","","","","","","","","","","","",""
"    2-person families","(X)","(X)","101,216","(X)","(X)","97,287","(X)","(X)","126,976","(X)","(X)","117,537","(X)","(X)","114,276","(X)","(X)","91,100"
"    3-person families","(X)","(X)","114,261","(X)","(X)","107,506","(X)","(X)","133,025","(X)","(X)","131,168","(X)","(X)","136,839","(X)","(X)","98,811"
"    4-person families","(X)","(X)","131,682","(X)","(X)","129,467","(X)","(X)","134,819","(X)","(X)","180,546","(X)","(X)","163,434","(X)","(X)","117,763"
"    5-person families","(X)","(X)","122,208","(X)","(X)","131,564","(X)","(X)","130,373","(X)","(X)","147,165","(X)","(X)","140,363","(X)","(X)","83,626"
"    6-person families","(X)","(X)","130,352","(X)","(X)","100,043","(X)","(X)","117,399","(X)","(X)","169,000","(X)","(X)","127,009","(X)","(X)","132,371"
"    7-or-more person families","(X)","(X)","122,951","(X)","(X)","117,310","(X)","(X)","192,715","(X)","(X)","131,709","(X)","(X)","124,738","(X)","(X)","137,174"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","","","","","","","","","","","","","",""
"    No earners","37,529","9.9%","42,114","35,365","12.4%","51,407","19,054","11.1%","28,552","17,719","9.7%","61,949","42,705","9.4%","45,002","17,755","14.9%","62,151"
"    1 earner","113,487","29.9%","75,391","89,241","31.3%","81,571","45,651","26.6%","86,287","52,706","28.8%","102,489","140,246","30.8%","105,804","34,889","29.3%","72,494"
"    2 earners","173,638","45.8%","145,283","122,424","42.9%","140,210","86,431","50.4%","171,619","83,300","45.5%","174,054","200,734","44.1%","171,847","48,494","40.8%","116,416"
"    3 or more earners","54,710","14.4%","154,055","38,315","13.4%","146,277","20,378","11.9%","156,825","29,228","16.0%","154,530","71,623","15.7%","152,990","17,777","14.9%","135,986"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","194,225","194,225","59,277","106,701","106,701","56,982","188,809","188,809","89,046","81,232","81,232","74,881","178,503","178,503","75,451","69,914","69,914","47,850"
"        Female householder","102,537","52.8%","51,202","63,011","59.1%","49,509","88,370","46.8%","74,367","44,634","54.9%","69,800","86,924","48.7%","57,266","41,980","60.0%","42,219"
"            Living alone","78,843","40.6%","42,034","50,928","47.7%","41,490","65,259","34.6%","50,226","35,391","43.6%","54,835","67,834","38.0%","46,061","34,220","48.9%","37,353"
