"Label (Grouping)","Alameda County, California!!Total!!Estimate","Alameda County, California!!Median income (dollars)!!Estimate","Contra Costa County, California!!Total!!Estimate","Contra Costa County, California!!Median income (dollars)!!Estimate","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Median income (dollars)!!Estimate","San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Median income (dollars)!!Estimate","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Median income (dollars)!!Estimate","Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"Households","548,274","70,500","380,397","74,177","346,842","73,012","258,888","81,609","613,810","91,425","184,348","59,941"
"One race--","","","","","","","","","","","",""
"    White","51.0%","77,193","67.6%","79,744","57.4%","91,560","63.8%","84,511","56.4%","89,696","84.8%","62,427"
"    Black or African American","14.2%","39,450","9.5%","46,208","5.7%","23,818","2.9%","52,271","2.9%","65,347","1.2%","59,087"
"    American Indian and Alaska Native","0.6%","46,153","N","50,325","N","N","N","66,554","0.5%","40,717","N","52,696"
"    Asian","23.7%","95,527","13.8%","93,385","28.1%","61,673","23.2%","92,907","31.0%","105,088","3.6%","65,743"
"    Native Hawaiian and Other Pacific Islander","0.8%","56,322","N","52,933","N","45,189","N","74,023","N","96,792","N","N"
"    Some other race","5.6%","48,162","5.0%","52,523","4.5%","49,038","6.2%","49,249","6.3%","52,417","7.3%","41,190"
"Two or more races","4.1%","64,181","3.2%","69,893","3.7%","65,277","2.5%","83,824","2.6%","82,497","2.2%","51,458"
"Hispanic or Latino origin (of any race)","16.2%","49,468","17.8%","54,316","11.5%","51,719","18.8%","52,035","19.3%","55,220","15.9%","43,069"
"White alone, not Hispanic or Latino","41.8%","85,216","56.1%","86,928","51.3%","97,531","52.2%","95,711","44.7%","100,480","77.1%","64,654"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","",""
"    15 to 24 years","3.3%","28,519","2.2%","40,260","4.0%","24,868","1.7%","36,678","2.4%","37,031","3.1%","34,788"
"    25 to 44 years","38.1%","75,080","32.1%","74,332","41.6%","100,786","34.4%","88,829","39.0%","101,088","28.2%","59,194"
"    45 to 64 years","39.5%","86,408","43.4%","93,960","33.9%","74,103","41.3%","92,380","39.8%","101,212","43.3%","71,795"
"    65 years and over","19.0%","46,154","22.3%","50,145","20.5%","33,475","22.6%","61,562","18.8%","54,198","25.3%","49,662"
"FAMILIES","","","","","","","","","","","",""
"    Families","359,928","87,926","265,285","89,141","153,518","86,678","172,477","97,779","440,738","101,682","117,766","69,920"
"        With own children under 18 years","48.1%","88,279","47.7%","89,204","35.8%","98,804","44.8%","100,780","49.3%","107,068","43.4%","62,773"
"        With no own children under 18 years","51.9%","87,770","52.3%","89,095","64.2%","82,453","55.2%","96,516","50.7%","95,809","56.6%","73,617"
"    Married-couple families","72.3%","105,964","76.0%","105,077","74.6%","108,800","76.9%","116,141","77.8%","119,377","75.2%","82,098"
"    Female householder, no husband present","19.2%","41,459","17.1%","46,752","18.8%","47,702","15.8%","49,236","15.0%","46,182","16.7%","39,510"
"    Male householder, no wife present","8.4%","55,104","6.9%","51,983","6.7%","52,196","7.3%","68,734","7.2%","61,050","8.0%","53,806"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","",""
"    Nonfamily households","188,346","42,844","115,112","49,123","193,324","59,924","86,411","57,280","173,072","57,182","66,582","42,493"
"    Female householder","54.3%","40,768","55.7%","44,208","47.3%","53,300","56.0%","52,444","49.7%","49,401","58.0%","38,034"
"        Living alone","43.6%","35,414","46.9%","39,181","34.7%","39,152","45.3%","46,374","40.3%","42,747","46.2%","32,192"
"        Not living alone","10.7%","76,603","8.9%","85,946","12.5%","105,558","10.7%","87,016","9.4%","89,577","11.7%","65,517"
"    Male householder","45.7%","46,086","44.3%","53,789","52.7%","65,592","44.0%","61,551","50.3%","66,656","42.0%","48,433"
"        Living alone","33.6%","37,178","33.9%","49,019","36.1%","48,410","34.4%","55,183","36.5%","55,340","29.5%","39,325"
"        Not living alone","12.1%","87,034","10.3%","74,602","16.7%","121,367","9.5%","91,929","13.8%","102,186","12.5%","74,792"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Household income in the past 12 months","23.9%","(X)","29.1%","(X)","29.7%","(X)","28.9%","(X)","26.1%","(X)","24.5%","(X)"
"    Family income in the past 12 months","24.2%","(X)","29.4%","(X)","32.9%","(X)","29.2%","(X)","26.3%","(X)","24.6%","(X)"
"    Nonfamily income in the past 12 months","21.8%","(X)","26.3%","(X)","26.4%","(X)","26.3%","(X)","22.5%","(X)","21.8%","(X)"
