"Label (Grouping)","Alameda County, California!!Total!!Estimate","Alameda County, California!!Median income (dollars)!!Estimate","Contra Costa County, California!!Total!!Estimate","Contra Costa County, California!!Median income (dollars)!!Estimate","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Median income (dollars)!!Estimate","San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Median income (dollars)!!Estimate","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Median income (dollars)!!Estimate","Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"Households","563,601","77,214","387,936","80,361","353,406","85,070","257,473","101,051","622,068","97,532","190,875","67,771"
"    One race--","","","","","","","","","","","",""
"        White","49.9%","84,112","65.1%","85,314","56.9%","101,276","60.3%","102,766","54.1%","95,557","82.7%","72,117"
"        Black or African American","13.3%","41,911","9.3%","52,229","4.9%","29,503","2.8%","52,257","2.7%","67,115","N","49,704"
"        American Indian and Alaska Native","0.7%","47,557","N","39,090","N","N","N","115,050","N","74,653","N","61,359"
"        Asian","25.5%","98,736","14.2%","101,503","29.2%","71,719","24.8%","112,973","32.8%","120,282","3.1%","64,238"
"        Native Hawaiian and Other Pacific Islander","N","73,264","N","41,155","N","N","N","61,516","N","48,942","N","71,076"
"        Some other race","5.9%","55,785","6.5%","52,005","5.0%","61,349","8.0%","69,063","6.8%","59,734","8.0%","46,072"
"    Two or more races","4.0%","65,793","4.1%","66,953","3.3%","87,096","3.0%","102,495","2.8%","95,010","4.1%","67,340"
"Hispanic or Latino origin (of any race)","16.2%","57,197","18.2%","60,490","11.9%","67,233","18.7%","66,739","19.3%","64,885","16.9%","53,151"
"White alone, not Hispanic or Latino","41.1%","92,542","54.5%","92,480","50.7%","104,364","50.7%","111,660","42.6%","105,587","75.8%","73,530"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","",""
"    15 to 24 years","3.3%","31,498","2.1%","36,253","2.9%","51,938","1.9%","66,667","2.2%","44,919","2.3%","40,925"
"    25 to 44 years","37.2%","85,270","31.8%","86,354","42.1%","112,498","32.2%","111,282","37.6%","110,900","28.8%","67,594"
"    45 to 64 years","38.9%","90,345","42.7%","93,252","34.2%","82,176","41.7%","114,960","40.4%","113,221","41.7%","83,478"
"    65 years and over","20.6%","50,033","23.4%","59,860","20.8%","44,457","24.1%","60,656","19.8%","53,425","27.1%","54,320"
"FAMILIES","","","","","","","","","","","",""
"    Families","376,874","93,540","274,585","95,357","162,498","100,850","175,767","117,149","444,289","109,884","121,602","81,305"
"        With own children under 18 years","46.4%","95,352","46.8%","94,218","34.1%","121,413","43.0%","125,299","47.8%","120,125","41.1%","68,031"
"        With no own children under 18 years","53.6%","92,526","53.2%","96,030","65.9%","93,078","57.0%","111,639","52.2%","101,969","58.9%","87,184"
"        Married-couple families","73.6%","112,867","76.4%","111,293","73.2%","123,619","78.7%","134,878","78.0%","127,499","74.7%","95,296"
"        Female householder, no husband present","18.3%","44,973","17.2%","51,695","18.0%","51,948","15.0%","60,311","14.9%","51,610","16.1%","48,171"
"        Male householder, no wife present","8.1%","55,902","6.4%","70,080","8.8%","53,950","6.3%","80,657","7.1%","73,524","9.3%","50,451"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","",""
"    Nonfamily households","186,727","49,036","113,351","48,654","190,908","68,748","81,706","61,819","177,779","62,055","69,273","41,960"
"        Female householder","54.4%","41,842","55.9%","42,837","46.8%","65,761","55.3%","58,234","49.1%","49,039","55.0%","34,141"
"            Living alone","41.9%","31,944","46.7%","39,180","33.8%","48,737","43.5%","45,598","39.6%","40,669","46.4%","31,187"
"            Not living alone","12.5%","72,884","9.2%","76,569","13.0%","125,065","11.8%","112,320","9.5%","108,663","8.6%","66,569"
"        Male householder","45.6%","54,347","44.1%","54,847","53.2%","74,491","44.7%","66,911","50.9%","76,670","45.0%","50,187"
"            Living alone","31.8%","46,600","32.6%","46,851","36.4%","48,653","33.4%","52,582","36.0%","65,296","32.8%","40,376"
"            Not living alone","13.8%","87,461","11.5%","81,285","16.8%","127,205","11.3%","115,936","14.9%","120,188","12.2%","70,008"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Household income in the past 12 months","27.9%","(X)","30.4%","(X)","30.3%","(X)","27.7%","(X)","28.9%","(X)","31.2%","(X)"
"    Family income in the past 12 months","28.3%","(X)","30.9%","(X)","33.7%","(X)","27.9%","(X)","28.1%","(X)","31.0%","(X)"
"    Nonfamily income in the past 12 months","25.2%","(X)","26.7%","(X)","26.4%","(X)","24.1%","(X)","27.8%","(X)","28.6%","(X)"
