"Label (Grouping)","Alameda County, California!!Total!!Estimate","Alameda County, California!!Median income (dollars)!!Estimate","Contra Costa County, California!!Total!!Estimate","Contra Costa County, California!!Median income (dollars)!!Estimate","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Median income (dollars)!!Estimate","San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Median income (dollars)!!Estimate","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Median income (dollars)!!Estimate","Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"Households","572,012","89,979","391,288","91,045","358,703","103,801","263,445","108,627","635,687","111,069","187,504","73,929"
"    One race--","","","","","","","","","","","",""
"        White","47.8%","100,685","64.8%","96,604","54.1%","126,729","58.4%","116,451","50.3%","112,543","83.0%","75,748"
"        Black or African American","12.8%","46,554","8.5%","61,243","5.0%","27,656","2.7%","52,781","2.5%","65,542","N","55,852"
"        American Indian and Alaska Native","N","67,168","N","79,482","N","135,038","N","68,827","N","88,743","N","81,525"
"        Asian","26.7%","108,545","14.1%","106,138","30.9%","89,100","26.6%","126,307","35.0%","128,321","3.7%","79,127"
"        Native Hawaiian and Other Pacific Islander","N","74,675","N","74,347","N","76,740","N","78,923","N","126,186","N","-"
"        Some other race","7.3%","71,518","6.6%","64,938","5.3%","66,540","7.8%","62,511","8.2%","64,286","8.1%","59,660"
"    Two or more races","4.2%","85,577","5.2%","80,325","4.2%","107,161","3.5%","95,441","3.2%","98,436","3.1%","65,078"
"Hispanic or Latino origin (of any race)","16.4%","72,253","18.4%","66,971","11.5%","75,628","18.6%","69,141","18.9%","71,207","17.1%","63,793"
"White alone, not Hispanic or Latino","40.1%","107,303","54.4%","102,621","48.8%","132,378","49.1%","127,900","41.0%","121,916","75.2%","76,826"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","",""
"    15 to 24 years","2.6%","42,658","2.1%","45,986","2.7%","69,023","2.0%","46,833","2.2%","42,743","1.4%","49,488"
"    25 to 44 years","37.4%","100,305","30.5%","93,568","41.6%","146,613","33.5%","131,179","37.5%","124,656","26.8%","74,653"
"    45 to 64 years","38.8%","101,490","42.5%","105,627","33.8%","97,584","40.1%","130,743","39.3%","126,996","40.6%","84,203"
"    65 years and over","21.2%","55,978","25.0%","63,044","21.9%","48,629","24.4%","69,312","21.0%","63,887","31.2%","58,385"
"FAMILIES","","","","","","","","","","","",""
"    Families","383,396","106,761","284,811","103,280","174,077","123,326","186,003","129,939","460,126","123,613","119,397","87,812"
"        With own children of householder under 18 years","45.9%","110,178","45.0%","103,276","34.5%","146,836","42.0%","150,970","47.7%","135,778","40.0%","77,395"
"        With no own children of householder under 18 years","54.1%","104,966","55.0%","103,282","65.5%","112,762","58.0%","115,364","52.3%","116,950","60.0%","94,509"
"        Married-couple families","76.1%","126,082","75.8%","121,241","76.2%","141,748","76.7%","151,721","79.1%","145,101","75.2%","100,037"
"        Female householder, no husband present","16.7%","53,520","16.7%","52,695","16.1%","54,625","15.6%","63,127","13.9%","60,362","15.6%","60,458"
"        Male householder, no wife present","7.2%","70,353","7.5%","71,510","7.7%","97,640","7.7%","83,970","7.0%","71,084","9.2%","56,347"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","",""
"    Nonfamily households","188,616","54,801","106,477","54,866","184,626","81,776","77,442","69,314","175,561","70,575","68,107","44,299"
"        Female householder","53.9%","47,307","56.5%","47,155","46.4%","74,058","54.8%","52,335","47.9%","55,718","59.1%","41,038"
"            Living alone","41.4%","34,932","46.5%","41,251","33.3%","52,759","43.5%","45,683","38.5%","44,538","47.7%","36,463"
"            Not living alone","12.5%","97,368","10.0%","85,494","13.0%","157,908","11.3%","100,210","9.4%","108,610","11.4%","67,728"
"        Male householder","46.1%","61,131","43.5%","65,429","53.6%","99,953","45.2%","82,037","52.1%","91,194","40.9%","51,475"
"            Living alone","32.0%","50,400","31.9%","54,481","34.3%","59,264","32.8%","76,520","34.4%","71,121","29.2%","40,264"
"            Not living alone","14.1%","97,338","11.6%","91,513","19.3%","173,247","12.5%","112,744","17.7%","128,611","11.7%","73,167"
"PERCENT ALLOCATED","","","","","","","","","","","",""
"    Household income in the past 12 months","30.2%","(X)","38.1%","(X)","33.8%","(X)","32.6%","(X)","31.3%","(X)","34.3%","(X)"
"    Family income in the past 12 months","30.4%","(X)","37.8%","(X)","37.4%","(X)","34.1%","(X)","30.9%","(X)","33.8%","(X)"
"    Nonfamily income in the past 12 months","27.9%","(X)","35.3%","(X)","29.5%","(X)","25.3%","(X)","29.3%","(X)","31.9%","(X)"
